paper_ref,title,year,digest_status,references_status,citation_analysis_status,reference_count,digest_chars,references_json_chars,references_markdown_chars,citation_report_chars,core_full_context_chars,external_full_context_chars,digest_tokens,references_markdown_tokens,citation_report_tokens,core_full_context_tokens,external_full_context_tokens,core_context_path,external_context_path
1:S86GB385,Accelerating DETR convergence via semantic-aligned matching,2022,available,available,available,63,1067,11826,7322,19283,1264,26836,696,2126,6562,748,8744,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_S86GB385.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_S86GB385.md
1:SZ3GNWT9,RF-DETR: neural architecture search for real-time detection transformers,2025,available,available,available,59,2456,13091,8875,17230,2679,26362,1529,2512,5726,1587,8300,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_SZ3GNWT9.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_SZ3GNWT9.md
1:TWR6CC4I,DINOv3,2025,available,available,available,248,1475,28933,11109,225,1566,11459,936,3490,79,978,3615,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_TWR6CC4I.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_TWR6CC4I.md
1:USRNFHXP,Per-Pixel Classification is Not All You Need for Semantic Segmentation,2021,available,available,available,55,2895,10003,6075,9376,3114,15704,1392,1744,3584,1451,5391,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_USRNFHXP.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_USRNFHXP.md
1:UVI9ULI2,Mask R-CNN,2017,missing,missing,missing,0,0,0,0,0,135,214,0,0,0,50,59,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_UVI9ULI2.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_UVI9ULI2.md
1:UW8ZLVA6,"Does DINOv3 Set a New Medical Vision Standard? Benchmarking 2D and 3D Classification, Segmentation, and Registration",2026,available,available,available,116,1267,23365,15045,48907,1578,64297,877,4322,14334,968,18751,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_UW8ZLVA6.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_UW8ZLVA6.md
1:VHBU3NI6,Efficient DETR: improving end-to-end object detector with dense prior,2021,available,available,available,0,1924,23,0,1,2141,332,1015,0,1,1075,76,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_VHBU3NI6.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_VHBU3NI6.md
1:VI9JURUB,Rethinking detection based table structure recognition for visually rich document images,2025,available,available,available,74,3665,13823,8527,17162,3920,25978,1702,2520,6031,1762,8615,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_VI9JURUB.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_VI9JURUB.md
1:VQ2WLIDR,Mask DINO: towards a unified transformer-based framework for object detection and segmentation,2023,available,available,available,35,1297,6870,4382,5535,1564,10218,808,1337,2071,873,3477,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_VQ2WLIDR.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_VQ2WLIDR.md
1:W4CDLU28,Conditional DETR for fast training convergence,2021,available,available,available,52,2128,9313,5601,11693,2299,17499,1294,1690,4439,1342,6181,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_W4CDLU28.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_W4CDLU28.md
1:XKJFVI8H,Using the Polar Transform for Efficient Deep Learning-Based Aorta Segmentation in CTA Images,2022,available,missing,available,0,733,0,0,2059,996,2396,539,0,790,605,866,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_XKJFVI8H.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_XKJFVI8H.md
1:Z25GLKZV,Attention is All you Need,2017,available,available,available,32,831,5710,3438,6996,960,10597,508,1045,2697,553,3791,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_Z25GLKZV.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_Z25GLKZV.md
